color,fuelTypeId,id,km,make,makeId,province,provinceId,title,transmissionType,transmissionTypeId,year,brand,brand_id,model,model_id,price,seller_type,bodyType,cubicCapacity,doors,hp,acceleration,consumptionAverage,consumptionExtraUrban,consumptionUrban,emissions,fuelTankCapacity,height,length,luggageCapacity,manufacturerPrice,seats,topSpeed,weight,width
COMMON.COLOR_RED,1,51268859,39990,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33990,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48300,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51291257,80000,ALFA ROMEO,1,Valladolid,47,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_MANUAL,2,2018,ALFA ROMEO,1,Giulia,1185.0,18900,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_WHITE,1,51360923,100719,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Giulietta,872.0,14899,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BLACK,1,50179331,121000,ALFA ROMEO,1,Málaga,29,ALFA ROMEO Giulietta 2.0 JTDm 170cv TCT Distinctive 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2012,ALFA ROMEO,1,Giulietta,872.0,9900,profesional,BODY_TYPE_SEDAN,1956.0,5.0,170.0,7.9,4.5,4.0,5.3,119.0,60.0,1465.0,4351.0,350.0,28897,5.0,218.0,1340.0,1798.0
COMMON.COLOR_WHITE,2,50575841,23975,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.9 Gasolina 375kW 510CV Quadrifogl Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,71950,profesional,BODY_TYPE_4X4,2891.0,5.0,510.0,3.8,9.8,8.4,12.3,222.0,64.0,1681.0,4702.0,525.0,108600,5.0,283.0,1830.0,1955.0
COMMON.COLOR_RED,1,51263110,103425,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,31900,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,53690,5.0,215.0,1659.0,1903.0
COMMON.COLOR_RED,1,51182491,75010,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Speciale AWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,33500,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,52850,5.0,215.0,1659.0,1903.0
COMMON.COLOR_GRAY,1,51360070,112000,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulia 2.2 Diesel 110kW 150CV Executive AT 4p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Giulia,1185.0,26990,profesional,BODY_TYPE_SEDAN,2143.0,4.0,150.0,8.1,4.2,3.5,5.3,110.0,52.0,1436.0,4643.0,480.0,43064,5.0,220.0,1445.0,1860.0
COMMON.COLOR_GRAY,1,51359453,91718,ALFA ROMEO,1,Barcelona,8,ALFA ROMEO Stelvio 2.2 Diesel 140kW 190CV Executive RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,30500,profesional,BODY_TYPE_4X4,2143.0,5.0,190.0,7.6,5.3,4.8,6.0,139.0,58.0,1671.0,4687.0,525.0,50315,5.0,210.0,1660.0,1903.0
COMMON.COLOR_BLUE,1,51359158,130813,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30490,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_WHITE,2,51359157,56405,ALFA ROMEO,1,Guadalajara,19,ALFA ROMEO Stelvio 2.0 Petrol 206kW 280CV First Ed.I Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2018,ALFA ROMEO,1,Stelvio,1217.0,32490,profesional,BODY_TYPE_4X4,1995.0,5.0,280.0,5.7,7.0,5.9,8.9,161.0,64.0,1688.0,4687.0,525.0,62000,5.0,230.0,1660.0,1903.0
COMMON.COLOR_WHITE,1,50651158,70448,ALFA ROMEO,1,Castellón,12,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_WHITE,1,50651048,70448,ALFA ROMEO,1,Madrid,28,ALFA ROMEO Giulietta 1.6 JTD 88kW 120CV Super 5p.,COMMON.TRANSMISSION_MANUAL,2,2017,ALFA ROMEO,1,Giulietta,872.0,14500,profesional,BODY_TYPE_SEDAN,1598.0,5.0,120.0,10.0,3.9,3.3,4.9,103.0,60.0,1465.0,4351.0,350.0,25610,5.0,195.0,1310.0,1798.0
COMMON.COLOR_BROWN,1,50393499,102068,ALFA ROMEO,1,Alicante,3,ALFA ROMEO Stelvio 2.2 Diesel 154kW 210CV Super Q4 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2017,ALFA ROMEO,1,Stelvio,1217.0,30750,profesional,BODY_TYPE_4X4,2143.0,5.0,210.0,6.6,4.8,4.4,5.5,127.0,58.0,1671.0,4687.0,525.0,48840,5.0,215.0,1659.0,1903.0
COMMON.COLOR_BLACK,1,51323163,20826,ALFA ROMEO,1,Almería,4,ALFA ROMEO Stelvio 2.2 Diesel 118kW 160CV Stelvio RWD 5p.,COMMON.TRANSMISSION_AUTOMATIC,1,2019,ALFA ROMEO,1,Stelvio,1217.0,35900,profesional,BODY_TYPE_4X4,2143.0,5.0,160.0,8.8,5.3,4.8,6.0,138.0,58.0,1671.0,4687.0,525.0,43645,5.0,198.0,1660.0,1903.0
